ID,Title
NANOG CHEA,NANOG_ChEA_Enrichr_Consensus
AR CHEA,AR_ChEA_Enrichr_Consensus
ETS1 ENCODE,ETS1_ENCODE_Enrichr_Consensus
ZC3H11A ENCODE,ZC3H11A_ENCODE_Enrichr_Consensus
E2F6 ENCODE,E2F6_ENCODE_Enrichr_Consensus
IRF8 CHEA,IRF8_ChEA_Enrichr_Consensus
YY1 ENCODE,YY1_ENCODE_Enrichr_Consensus
CHD1 ENCODE,CHD1_ENCODE_Enrichr_Consensus
SRF ENCODE,SRF_ENCODE_Enrichr_Consensus
ZKSCAN1 ENCODE,ZKSCAN1_ENCODE_Enrichr_Consensus
IRF3 ENCODE,IRF3_ENCODE_Enrichr_Consensus
ESR1 CHEA,ESR1_ChEA_Enrichr_Consensus
FOXP2 ENCODE,FOXP2_ENCODE_Enrichr_Consensus
POU5F1 CHEA,POU5F1_ChEA_Enrichr_Consensus
HDAC2 ENCODE,HDAC2_ENCODE_Enrichr_Consensus
VDR CHEA,VDR_ChEA_Enrichr_Consensus
STAT3 CHEA,STAT3_ChEA_Enrichr_Consensus
CBX3 ENCODE,CBX3_ENCODE_Enrichr_Consensus
MAX ENCODE,MAX_ENCODE_Enrichr_Consensus
FOS ENCODE,FOS_ENCODE_Enrichr_Consensus
SP2 ENCODE,SP2_ENCODE_Enrichr_Consensus
RCOR1 ENCODE,RCOR1_ENCODE_Enrichr_Consensus
PML ENCODE,PML_ENCODE_Enrichr_Consensus
CREB1 ENCODE,CREB1_ENCODE_Enrichr_Consensus
SALL4 CHEA,SALL4_ChEA_Enrichr_Consensus
TRIM28 ENCODE,TRIM28_ENCODE_Enrichr_Consensus
NFE2L2 CHEA,NFE2L2_ChEA_Enrichr_Consensus
ZBTB7A ENCODE,ZBTB7A_ENCODE_Enrichr_Consensus
ELF1 ENCODE,ELF1_ENCODE_Enrichr_Consensus
NR2C2 ENCODE,NR2C2_ENCODE_Enrichr_Consensus
RFX5 ENCODE,RFX5_ENCODE_Enrichr_Consensus
NFYB ENCODE,NFYB_ENCODE_Enrichr_Consensus
EGR1 CHEA,EGR1_ChEA_Enrichr_Consensus
GABPA ENCODE,GABPA_ENCODE_Enrichr_Consensus
RAD21 ENCODE,RAD21_ENCODE_Enrichr_Consensus
FLI1 ENCODE,FLI1_ENCODE_Enrichr_Consensus
SUZ12 ENCODE,SUZ12_ENCODE_Enrichr_Consensus
FOSL2 ENCODE,FOSL2_ENCODE_Enrichr_Consensus
REST ENCODE,REST_ENCODE_Enrichr_Consensus
BCL3 ENCODE,BCL3_ENCODE_Enrichr_Consensus
RELA ENCODE,RELA_ENCODE_Enrichr_Consensus
STAT3 ENCODE,STAT3_ENCODE_Enrichr_Consensus
EZH2 ENCODE,EZH2_ENCODE_Enrichr_Consensus
MYC ENCODE,MYC_ENCODE_Enrichr_Consensus
ZEB1 ENCODE,ZEB1_ENCODE_Enrichr_Consensus
CEBPB ENCODE,CEBPB_ENCODE_Enrichr_Consensus
NELFE ENCODE,NELFE_ENCODE_Enrichr_Consensus
YY1 CHEA,YY1_ChEA_Enrichr_Consensus
IRF1 ENCODE,IRF1_ENCODE_Enrichr_Consensus
USF1 ENCODE,USF1_ENCODE_Enrichr_Consensus
FOXA2 ENCODE,FOXA2_ENCODE_Enrichr_Consensus
SPI1 ENCODE,SPI1_ENCODE_Enrichr_Consensus
HNF4A ENCODE,HNF4A_ENCODE_Enrichr_Consensus
PPARD CHEA,PPARD_ChEA_Enrichr_Consensus
TP53 CHEA,TP53_ChEA_Enrichr_Consensus
EGR1 ENCODE,EGR1_ENCODE_Enrichr_Consensus
NFYA ENCODE,NFYA_ENCODE_Enrichr_Consensus
PPARG CHEA,PPARG_ChEA_Enrichr_Consensus
TAF7 ENCODE,TAF7_ENCODE_Enrichr_Consensus
E2F1 CHEA,E2F1_ChEA_Enrichr_Consensus
CREB1 CHEA,CREB1_ChEA_Enrichr_Consensus
TP63 CHEA,TP63_ChEA_Enrichr_Consensus
SIN3A ENCODE,SIN3A_ENCODE_Enrichr_Consensus
SP1 ENCODE,SP1_ENCODE_Enrichr_Consensus
BCLAF1 ENCODE,BCLAF1_ENCODE_Enrichr_Consensus
TCF3 CHEA,TCF3_ChEA_Enrichr_Consensus
GATA2 CHEA,GATA2_ChEA_Enrichr_Consensus
BRCA1 ENCODE,BRCA1_ENCODE_Enrichr_Consensus
