ID,Title
ADNP,ADNP_ReMap
AHR,AHR_ReMap
AR,AR_ReMap
ARID2,ARID2_ReMap
ARID3A,ARID3A_ReMap
ARNT,ARNT_ReMap
ARNTL,ARNTL_ReMap
ASCL1,ASCL1_ReMap
ATF1,ATF1_ReMap
ATF2,ATF2_ReMap
ATF3,ATF3_ReMap
ATF4,ATF4_ReMap
ATF7,ATF7_ReMap
BACH1,BACH1_ReMap
BACH2,BACH2_ReMap
BATF,BATF_ReMap
BCL11A,BCL11A_ReMap
BCL6,BCL6_ReMap
BHLHE22,BHLHE22_ReMap
BHLHE40,BHLHE40_ReMap
BRF2,BRF2_ReMap
CBX2,CBX2_ReMap
CDX2,CDX2_ReMap
CEBPA,CEBPA_ReMap
CEBPB,CEBPB_ReMap
CEBPD,CEBPD_ReMap
CEBPG,CEBPG_ReMap
CEBPZ,CEBPZ_ReMap
CLOCK,CLOCK_ReMap
CREB1,CREB1_ReMap
CREB3,CREB3_ReMap
CREB3L1,CREB3L1_ReMap
CREM,CREM_ReMap
CTCF,CTCF_ReMap
CTCFL,CTCFL_ReMap
CUX1,CUX1_ReMap
CXXC4,CXXC4_ReMap
DEAF1,DEAF1_ReMap
DUX4,DUX4_ReMap
E2F1,E2F1_ReMap
E2F4,E2F4_ReMap
E2F5,E2F5_ReMap
E2F6,E2F6_ReMap
E2F7,E2F7_ReMap
EBF1,EBF1_ReMap
EGR1,EGR1_ReMap
EHF,EHF_ReMap
ELF1,ELF1_ReMap
ELF3,ELF3_ReMap
ELF5,ELF5_ReMap
ELK1,ELK1_ReMap
ELK4,ELK4_ReMap
EOMES,EOMES_ReMap
EPAS1,EPAS1_ReMap
ERG,ERG_ReMap
ESR1,ESR1_ReMap
ESR2,ESR2_ReMap
ESRRA,ESRRA_ReMap
ETS1,ETS1_ReMap
ETV1,ETV1_ReMap
ETV4,ETV4_ReMap
ETV6,ETV6_ReMap
FLI1,FLI1_ReMap
FOS,FOS_ReMap
FOSL1,FOSL1_ReMap
FOSL2,FOSL2_ReMap
FOXA1,FOXA1_ReMap
FOXA2,FOXA2_ReMap
FOXJ2,FOXJ2_ReMap
FOXK1,FOXK1_ReMap
FOXK2,FOXK2_ReMap
FOXM1,FOXM1_ReMap
FOXO1,FOXO1_ReMap
FOXP1,FOXP1_ReMap
FOXP2,FOXP2_ReMap
GABPA,GABPA_ReMap
GATA1,GATA1_ReMap
GATA2,GATA2_ReMap
GATA3,GATA3_ReMap
GATA4,GATA4_ReMap
GATA6,GATA6_ReMap
GFI1B,GFI1B_ReMap
GLYR1,GLYR1_ReMap
GRHL2,GRHL2_ReMap
GTF2B,GTF2B_ReMap
HBP1,HBP1_ReMap
HES1,HES1_ReMap
HHEX,HHEX_ReMap
HIF1A,HIF1A_ReMap
HINFP,HINFP_ReMap
HMBOX1,HMBOX1_ReMap
HMGN3,HMGN3_ReMap
HNF1B,HNF1B_ReMap
HNF4A,HNF4A_ReMap
HNF4G,HNF4G_ReMap
HOXA9,HOXA9_ReMap
HOXB13,HOXB13_ReMap
HOXB7,HOXB7_ReMap
HOXC11,HOXC11_ReMap
HSF1,HSF1_ReMap
