ID,Title
Gata1 (mouse),Gata1 (mouse)_TRANSFAC_JASPAR_PWMs
Tcfcp2l1 (mouse),Tcfcp2l1 (mouse)_TRANSFAC_JASPAR_PWMs
Stat3 (mouse),Stat3 (mouse)_TRANSFAC_JASPAR_PWMs
TP63 (human),TP63 (human)_TRANSFAC_JASPAR_PWMs
NFE2L2 (human),NFE2L2 (human)_TRANSFAC_JASPAR_PWMs
MZF1 (human),MZF1 (human)_TRANSFAC_JASPAR_PWMs
MYC (mouse),MYC (mouse)_TRANSFAC_JASPAR_PWMs
POU2F1 (human),POU2F1 (human)_TRANSFAC_JASPAR_PWMs
RUNX1 (mouse),RUNX1 (mouse)_TRANSFAC_JASPAR_PWMs
IRF1 (human),IRF1 (human)_TRANSFAC_JASPAR_PWMs
YY1 (human),YY1 (human)_TRANSFAC_JASPAR_PWMs
Mycn (mouse),Mycn (mouse)_TRANSFAC_JASPAR_PWMs
SNAI2 (human),SNAI2 (human)_TRANSFAC_JASPAR_PWMs
FOS (human),FOS (human)_TRANSFAC_JASPAR_PWMs
SREBF1 (mouse),SREBF1 (mouse)_TRANSFAC_JASPAR_PWMs
Myb (mouse),Myb (mouse)_TRANSFAC_JASPAR_PWMs
POU1F1 (human),POU1F1 (human)_TRANSFAC_JASPAR_PWMs
HIF1A (human),HIF1A (human)_TRANSFAC_JASPAR_PWMs
RORB (human),RORB (human)_TRANSFAC_JASPAR_PWMs
INSM1 (human),INSM1 (human)_TRANSFAC_JASPAR_PWMs
ESR2 (mouse),ESR2 (mouse)_TRANSFAC_JASPAR_PWMs
WT1 (human),WT1 (human)_TRANSFAC_JASPAR_PWMs
EIF4EBP1 (human),EIF4EBP1 (human)_TRANSFAC_JASPAR_PWMs
NFYB (mouse),NFYB (mouse)_TRANSFAC_JASPAR_PWMs
FOXO3 (human),FOXO3 (human)_TRANSFAC_JASPAR_PWMs
Nr2e3 (mouse),Nr2e3 (mouse)_TRANSFAC_JASPAR_PWMs
EGR1 (mouse),EGR1 (mouse)_TRANSFAC_JASPAR_PWMs
TEAD4 (human),TEAD4 (human)_TRANSFAC_JASPAR_PWMs
Pax5 (mouse),Pax5 (mouse)_TRANSFAC_JASPAR_PWMs
NR1H2 (human),NR1H2 (human)_TRANSFAC_JASPAR_PWMs
RREB1 (human),RREB1 (human)_TRANSFAC_JASPAR_PWMs
NR1I2 (human),NR1I2 (human)_TRANSFAC_JASPAR_PWMs
GABPA (mouse),GABPA (mouse)_TRANSFAC_JASPAR_PWMs
CBFB (human),CBFB (human)_TRANSFAC_JASPAR_PWMs
CTCF (human),CTCF (human)_TRANSFAC_JASPAR_PWMs
ETV4 (mouse),ETV4 (mouse)_TRANSFAC_JASPAR_PWMs
REST (human),REST (human)_TRANSFAC_JASPAR_PWMs
TEAD2 (human),TEAD2 (human)_TRANSFAC_JASPAR_PWMs
BCL6 (human),BCL6 (human)_TRANSFAC_JASPAR_PWMs
RUNX2 (mouse),RUNX2 (mouse)_TRANSFAC_JASPAR_PWMs
RXRA (human),RXRA (human)_TRANSFAC_JASPAR_PWMs
SMAD3 (human),SMAD3 (human)_TRANSFAC_JASPAR_PWMs
MYC (human),MYC (human)_TRANSFAC_JASPAR_PWMs
TEAD1 (human),TEAD1 (human)_TRANSFAC_JASPAR_PWMs
HNF1A (human),HNF1A (human)_TRANSFAC_JASPAR_PWMs
NKX3-1 (human),NKX3-1 (human)_TRANSFAC_JASPAR_PWMs
PPARA (human),PPARA (human)_TRANSFAC_JASPAR_PWMs
GABPA (human),GABPA (human)_TRANSFAC_JASPAR_PWMs
RELA (mouse),RELA (mouse)_TRANSFAC_JASPAR_PWMs
MYOG (human),MYOG (human)_TRANSFAC_JASPAR_PWMs
CACYBP (human),CACYBP (human)_TRANSFAC_JASPAR_PWMs
USF2 (human),USF2 (human)_TRANSFAC_JASPAR_PWMs
SRF (human),SRF (human)_TRANSFAC_JASPAR_PWMs
Pax6 (human),Pax6 (human)_TRANSFAC_JASPAR_PWMs
USF1 (mouse),USF1 (mouse)_TRANSFAC_JASPAR_PWMs
JUN (mouse),JUN (mouse)_TRANSFAC_JASPAR_PWMs
NHLH1 (human),NHLH1 (human)_TRANSFAC_JASPAR_PWMs
SMAD4 (mouse),SMAD4 (mouse)_TRANSFAC_JASPAR_PWMs
RARA (human),RARA (human)_TRANSFAC_JASPAR_PWMs
THRA (human),THRA (human)_TRANSFAC_JASPAR_PWMs
FOXA3 (human),FOXA3 (human)_TRANSFAC_JASPAR_PWMs
Klf4 (mouse),Klf4 (mouse)_TRANSFAC_JASPAR_PWMs
NFATC3 (human),NFATC3 (human)_TRANSFAC_JASPAR_PWMs
VDR (human),VDR (human)_TRANSFAC_JASPAR_PWMs
ELF3 (human),ELF3 (human)_TRANSFAC_JASPAR_PWMs
TBP (human),TBP (human)_TRANSFAC_JASPAR_PWMs
ATF1 (human),ATF1 (human)_TRANSFAC_JASPAR_PWMs
SP3 (human),SP3 (human)_TRANSFAC_JASPAR_PWMs
JDP2 (human),JDP2 (human)_TRANSFAC_JASPAR_PWMs
NR2C2 (human),NR2C2 (human)_TRANSFAC_JASPAR_PWMs
GATA1 (human),GATA1 (human)_TRANSFAC_JASPAR_PWMs
ETS1 (mouse),ETS1 (mouse)_TRANSFAC_JASPAR_PWMs
Pdx1 (mouse),Pdx1 (mouse)_TRANSFAC_JASPAR_PWMs
FOXA2 (human),FOXA2 (human)_TRANSFAC_JASPAR_PWMs
FOS (mouse),FOS (mouse)_TRANSFAC_JASPAR_PWMs
MIB2 (human),MIB2 (human)_TRANSFAC_JASPAR_PWMs
NR2F1 (human),NR2F1 (human)_TRANSFAC_JASPAR_PWMs
TLX1::NFIC (human),TLX1::NFIC (human)_TRANSFAC_JASPAR_PWMs
Sox5 (mouse),Sox5 (mouse)_TRANSFAC_JASPAR_PWMs
Tal1::Gata1 (mouse),Tal1::Gata1 (mouse)_TRANSFAC_JASPAR_PWMs
CREB1 (mouse),CREB1 (mouse)_TRANSFAC_JASPAR_PWMs
HMGA1 (human),HMGA1 (human)_TRANSFAC_JASPAR_PWMs
CRTC3 (human),CRTC3 (human)_TRANSFAC_JASPAR_PWMs
MYCN (human),MYCN (human)_TRANSFAC_JASPAR_PWMs
NR2F1 (mouse),NR2F1 (mouse)_TRANSFAC_JASPAR_PWMs
NR5A1 (human),NR5A1 (human)_TRANSFAC_JASPAR_PWMs
NR5A2 (human),NR5A2 (human)_TRANSFAC_JASPAR_PWMs
TFAP2A (human),TFAP2A (human)_TRANSFAC_JASPAR_PWMs
RORA 2 (human),RORA 2 (human)_TRANSFAC_JASPAR_PWMs
NFAT2 (human),NFAT2 (human)_TRANSFAC_JASPAR_PWMs
RXR::RAR DR5 (human),RXR::RAR DR5 (human)_TRANSFAC_JASPAR_PWMs
MIR210 (human),MIR210 (human)_TRANSFAC_JASPAR_PWMs
POU2F2 (human),POU2F2 (human)_TRANSFAC_JASPAR_PWMs
SREBF2 (human),SREBF2 (human)_TRANSFAC_JASPAR_PWMs
NRF1 (human),NRF1 (human)_TRANSFAC_JASPAR_PWMs
PPARG (human),PPARG (human)_TRANSFAC_JASPAR_PWMs
SP1 (mouse),SP1 (mouse)_TRANSFAC_JASPAR_PWMs
IRF2 (mouse),IRF2 (mouse)_TRANSFAC_JASPAR_PWMs
IKZF1 (mouse),IKZF1 (mouse)_TRANSFAC_JASPAR_PWMs
ETV4 (human),ETV4 (human)_TRANSFAC_JASPAR_PWMs
IRF9 (human),IRF9 (human)_TRANSFAC_JASPAR_PWMs
PDX1 (human),PDX1 (human)_TRANSFAC_JASPAR_PWMs
SP4 (human),SP4 (human)_TRANSFAC_JASPAR_PWMs
SNAI1 (human),SNAI1 (human)_TRANSFAC_JASPAR_PWMs
TFAP2D (human),TFAP2D (human)_TRANSFAC_JASPAR_PWMs
SMAD3 (mouse),SMAD3 (mouse)_TRANSFAC_JASPAR_PWMs
HLF (human),HLF (human)_TRANSFAC_JASPAR_PWMs
KLF5 (human),KLF5 (human)_TRANSFAC_JASPAR_PWMs
FOXA2 (mouse),FOXA2 (mouse)_TRANSFAC_JASPAR_PWMs
SPIB (human),SPIB (human)_TRANSFAC_JASPAR_PWMs
STAT1 (mouse),STAT1 (mouse)_TRANSFAC_JASPAR_PWMs
