ID,Title
AATF mouse,AATF mouse (TRRUST)
ABL1 human,ABL1 human (TRRUST)
AHR human,AHR human (TRRUST)
AHR mouse,AHR mouse (TRRUST)
APC human,APC human (TRRUST)
APEX1 human,APEX1 human (TRRUST)
APEX1 mouse,APEX1 mouse (TRRUST)
AR human,AR human (TRRUST)
AR mouse,AR mouse (TRRUST)
ARID3A human,ARID3A human (TRRUST)
ARNT human,ARNT human (TRRUST)
ARNT mouse,ARNT mouse (TRRUST)
ARNTL human,ARNTL human (TRRUST)
ARNTL mouse,ARNTL mouse (TRRUST)
ASCL1 human,ASCL1 human (TRRUST)
ASCL1 mouse,ASCL1 mouse (TRRUST)
ATF1 human,ATF1 human (TRRUST)
ATF2 human,ATF2 human (TRRUST)
ATF2 mouse,ATF2 mouse (TRRUST)
ATF3 human,ATF3 human (TRRUST)
ATF3 mouse,ATF3 mouse (TRRUST)
ATF4 human,ATF4 human (TRRUST)
ATF4 mouse,ATF4 mouse (TRRUST)
ATF5 human,ATF5 human (TRRUST)
ATF6 human,ATF6 human (TRRUST)
ATM human,ATM human (TRRUST)
BCL11B mouse,BCL11B mouse (TRRUST)
BCL3 mouse,BCL3 mouse (TRRUST)
BCL6 human,BCL6 human (TRRUST)
BCL6 mouse,BCL6 mouse (TRRUST)
BMI1 mouse,BMI1 mouse (TRRUST)
BRCA1 human,BRCA1 human (TRRUST)
BRCA1 mouse,BRCA1 mouse (TRRUST)
BTF3 human,BTF3 human (TRRUST)
CDX1 human,CDX1 human (TRRUST)
CDX2 human,CDX2 human (TRRUST)
CDX2 mouse,CDX2 mouse (TRRUST)
CEBPA human,CEBPA human (TRRUST)
CEBPA mouse,CEBPA mouse (TRRUST)
CEBPB human,CEBPB human (TRRUST)
CEBPB mouse,CEBPB mouse (TRRUST)
CEBPD human,CEBPD human (TRRUST)
CEBPE human,CEBPE human (TRRUST)
CEBPZ human,CEBPZ human (TRRUST)
CIITA human,CIITA human (TRRUST)
CITED2 mouse,CITED2 mouse (TRRUST)
CLOCK human,CLOCK human (TRRUST)
CLOCK mouse,CLOCK mouse (TRRUST)
CREB1 human,CREB1 human (TRRUST)
CREB1 mouse,CREB1 mouse (TRRUST)
CREB5 human,CREB5 human (TRRUST)
CREBBP human,CREBBP human (TRRUST)
CREBBP mouse,CREBBP mouse (TRRUST)
CREM human,CREM human (TRRUST)
CRX mouse,CRX mouse (TRRUST)
CTCF human,CTCF human (TRRUST)
CTCF mouse,CTCF mouse (TRRUST)
CTNNB1 human,CTNNB1 human (TRRUST)
CTNNB1 mouse,CTNNB1 mouse (TRRUST)
CUX1 human,CUX1 human (TRRUST)
CUX1 mouse,CUX1 mouse (TRRUST)
DACH1 mouse,DACH1 mouse (TRRUST)
DDIT3 human,DDIT3 human (TRRUST)
DLX2 mouse,DLX2 mouse (TRRUST)
DLX3 mouse,DLX3 mouse (TRRUST)
DLX5 mouse,DLX5 mouse (TRRUST)
DMTF1 mouse,DMTF1 mouse (TRRUST)
DNMT1 human,DNMT1 human (TRRUST)
DNMT3A human,DNMT3A human (TRRUST)
DNMT3A mouse,DNMT3A mouse (TRRUST)
E2F1 human,E2F1 human (TRRUST)
E2F1 mouse,E2F1 mouse (TRRUST)
E2F3 human,E2F3 human (TRRUST)
E2F3 mouse,E2F3 mouse (TRRUST)
E2F4 human,E2F4 human (TRRUST)
E2F4 mouse,E2F4 mouse (TRRUST)
E2F6 human,E2F6 human (TRRUST)
EBF1 mouse,EBF1 mouse (TRRUST)
EGR1 human,EGR1 human (TRRUST)
EGR1 mouse,EGR1 mouse (TRRUST)
EGR2 human,EGR2 human (TRRUST)
EGR2 mouse,EGR2 mouse (TRRUST)
EHMT2 mouse,EHMT2 mouse (TRRUST)
ELF1 human,ELF1 human (TRRUST)
ELF1 mouse,ELF1 mouse (TRRUST)
ELF3 human,ELF3 human (TRRUST)
ELK1 human,ELK1 human (TRRUST)
ELK1 mouse,ELK1 mouse (TRRUST)
EOMES mouse,EOMES mouse (TRRUST)
EP300 human,EP300 human (TRRUST)
EP300 mouse,EP300 mouse (TRRUST)
EPAS1 human,EPAS1 human (TRRUST)
EPAS1 mouse,EPAS1 mouse (TRRUST)
ERCC2 human,ERCC2 human (TRRUST)
ERG human,ERG human (TRRUST)
ERG mouse,ERG mouse (TRRUST)
ESR1 human,ESR1 human (TRRUST)
ESR1 mouse,ESR1 mouse (TRRUST)
ESR2 human,ESR2 human (TRRUST)
ESR2 mouse,ESR2 mouse (TRRUST)
ESRRA human,ESRRA human (TRRUST)
ESRRA mouse,ESRRA mouse (TRRUST)
ETS1 human,ETS1 human (TRRUST)
ETS1 mouse,ETS1 mouse (TRRUST)
ETS2 human,ETS2 human (TRRUST)
ETS2 mouse,ETS2 mouse (TRRUST)
ETV2 mouse,ETV2 mouse (TRRUST)
ETV4 human,ETV4 human (TRRUST)
ETV4 mouse,ETV4 mouse (TRRUST)
ETV5 mouse,ETV5 mouse (TRRUST)
EWSR1 human,EWSR1 human (TRRUST)
EZH2 human,EZH2 human (TRRUST)
EZH2 mouse,EZH2 mouse (TRRUST)
FLI1 human,FLI1 human (TRRUST)
FLI1 mouse,FLI1 mouse (TRRUST)
FOS human,FOS human (TRRUST)
FOS mouse,FOS mouse (TRRUST)
FOSL1 human,FOSL1 human (TRRUST)
FOSL1 mouse,FOSL1 mouse (TRRUST)
FOSL2 human,FOSL2 human (TRRUST)
FOXA1 human,FOXA1 human (TRRUST)
FOXA1 mouse,FOXA1 mouse (TRRUST)
FOXA2 human,FOXA2 human (TRRUST)
FOXA2 mouse,FOXA2 mouse (TRRUST)
FOXC1 mouse,FOXC1 mouse (TRRUST)
FOXC2 mouse,FOXC2 mouse (TRRUST)
FOXD3 human,FOXD3 human (TRRUST)
FOXF2 human,FOXF2 human (TRRUST)
FOXG1 mouse,FOXG1 mouse (TRRUST)
FOXM1 human,FOXM1 human (TRRUST)
FOXM1 mouse,FOXM1 mouse (TRRUST)
FOXO1 human,FOXO1 human (TRRUST)
FOXO1 mouse,FOXO1 mouse (TRRUST)
FOXO3 human,FOXO3 human (TRRUST)
FOXO3 mouse,FOXO3 mouse (TRRUST)
FOXO4 human,FOXO4 human (TRRUST)
FOXO4 mouse,FOXO4 mouse (TRRUST)
FOXP1 mouse,FOXP1 mouse (TRRUST)
FOXP2 human,FOXP2 human (TRRUST)
FOXP3 human,FOXP3 human (TRRUST)
FOXP3 mouse,FOXP3 mouse (TRRUST)
FOXQ1 human,FOXQ1 human (TRRUST)
GABPA mouse,GABPA mouse (TRRUST)
GATA1 human,GATA1 human (TRRUST)
GATA1 mouse,GATA1 mouse (TRRUST)
GATA2 human,GATA2 human (TRRUST)
GATA2 mouse,GATA2 mouse (TRRUST)
GATA3 human,GATA3 human (TRRUST)
GATA3 mouse,GATA3 mouse (TRRUST)
GATA4 human,GATA4 human (TRRUST)
