ID,Title
hsa-miR-507,miRTarBase_hsa-miR-507
hsa-miR-6723-5p,miRTarBase_hsa-miR-6723-5p
hsa-miR-3934-3p,miRTarBase_hsa-miR-3934-3p
hsa-miR-4657,miRTarBase_hsa-miR-4657
hsa-miR-130b-5p,miRTarBase_hsa-miR-130b-5p
hsa-miR-6782-5p,miRTarBase_hsa-miR-6782-5p
hsa-miR-190b,miRTarBase_hsa-miR-190b
hsa-miR-1286,miRTarBase_hsa-miR-1286
hsa-miR-126-3p,miRTarBase_hsa-miR-126-3p
hsa-miR-3173-5p,miRTarBase_hsa-miR-3173-5p
hsa-miR-1343-5p,miRTarBase_hsa-miR-1343-5p
hsa-miR-34a-5p,miRTarBase_hsa-miR-34a-5p
mmu-miR-126a-3p,miRTarBase_mmu-miR-126a-3p
hsa-miR-6767-3p,miRTarBase_hsa-miR-6767-3p
hsa-miR-1301-3p,miRTarBase_hsa-miR-1301-3p
hsa-miR-552-5p,miRTarBase_hsa-miR-552-5p
hsa-miR-4667-5p,miRTarBase_hsa-miR-4667-5p
hsa-miR-2355-3p,miRTarBase_hsa-miR-2355-3p
hsa-miR-4695-3p,miRTarBase_hsa-miR-4695-3p
hsa-miR-676-3p,miRTarBase_hsa-miR-676-3p
hsa-miR-548x-3p,miRTarBase_hsa-miR-548x-3p
mmu-miR-3059-5p,miRTarBase_mmu-miR-3059-5p
mmu-let-7f-5p,miRTarBase_mmu-let-7f-5p
hsa-miR-501-3p,miRTarBase_hsa-miR-501-3p
hsa-miR-378f,miRTarBase_hsa-miR-378f
hsa-miR-187-5p,miRTarBase_hsa-miR-187-5p
hsa-miR-598-5p,miRTarBase_hsa-miR-598-5p
hsa-miR-3118,miRTarBase_hsa-miR-3118
hsa-miR-2276-5p,miRTarBase_hsa-miR-2276-5p
mmu-miR-764-3p,miRTarBase_mmu-miR-764-3p
hsa-miR-519c-5p,miRTarBase_hsa-miR-519c-5p
mmu-let-7g-5p,miRTarBase_mmu-let-7g-5p
hsa-miR-27b-5p,miRTarBase_hsa-miR-27b-5p
hsa-miR-4477b,miRTarBase_hsa-miR-4477b
hsa-miR-3176,miRTarBase_hsa-miR-3176
hsa-miR-3675-3p,miRTarBase_hsa-miR-3675-3p
hsa-miR-3937,miRTarBase_hsa-miR-3937
mmu-miR-668-3p,miRTarBase_mmu-miR-668-3p
hsa-miR-580-3p,miRTarBase_hsa-miR-580-3p
hsa-miR-648,miRTarBase_hsa-miR-648
hsa-miR-1183,miRTarBase_hsa-miR-1183
hsa-miR-548av-5p,miRTarBase_hsa-miR-548av-5p
hsa-miR-7641,miRTarBase_hsa-miR-7641
hsa-miR-125a-3p,miRTarBase_hsa-miR-125a-3p
hsa-miR-6811-5p,miRTarBase_hsa-miR-6811-5p
mmu-miR-292a-5p,miRTarBase_mmu-miR-292a-5p
hsa-miR-608,miRTarBase_hsa-miR-608
hsa-miR-4255,miRTarBase_hsa-miR-4255
hsa-miR-548j-5p,miRTarBase_hsa-miR-548j-5p
hsa-let-7f-2-3p,miRTarBase_hsa-let-7f-2-3p
hsa-miR-548ar-3p,miRTarBase_hsa-miR-548ar-3p
hsa-miR-1226-5p,miRTarBase_hsa-miR-1226-5p
hsa-miR-1231,miRTarBase_hsa-miR-1231
hsa-miR-590-5p,miRTarBase_hsa-miR-590-5p
hsa-miR-7107-3p,miRTarBase_hsa-miR-7107-3p
hsa-miR-7978,miRTarBase_hsa-miR-7978
hsa-miR-3682-5p,miRTarBase_hsa-miR-3682-5p
hsa-miR-5010-3p,miRTarBase_hsa-miR-5010-3p
hsa-miR-3181,miRTarBase_hsa-miR-3181
hsa-miR-203a-3p,miRTarBase_hsa-miR-203a-3p
mmu-miR-199a-5p,miRTarBase_mmu-miR-199a-5p
hsa-miR-20a-3p,miRTarBase_hsa-miR-20a-3p
hsa-miR-6801-3p,miRTarBase_hsa-miR-6801-3p
hsa-miR-141-3p,miRTarBase_hsa-miR-141-3p
hsa-miR-1237-3p,miRTarBase_hsa-miR-1237-3p
mmu-miR-1198-5p,miRTarBase_mmu-miR-1198-5p
hsa-miR-548az-3p,miRTarBase_hsa-miR-548az-3p
hsa-miR-4708-3p,miRTarBase_hsa-miR-4708-3p
hsa-miR-545-5p,miRTarBase_hsa-miR-545-5p
hsa-miR-29c-5p,miRTarBase_hsa-miR-29c-5p
mmu-miR-1957a,miRTarBase_mmu-miR-1957a
hsa-miR-1285-5p,miRTarBase_hsa-miR-1285-5p
hsa-miR-1322,miRTarBase_hsa-miR-1322
hsa-miR-134-5p,miRTarBase_hsa-miR-134-5p
hsa-miR-891b,miRTarBase_hsa-miR-891b
hsa-miR-625-5p,miRTarBase_hsa-miR-625-5p
hsa-miR-633,miRTarBase_hsa-miR-633
hsa-miR-4714-5p,miRTarBase_hsa-miR-4714-5p
mmu-miR-698-3p,miRTarBase_mmu-miR-698-3p
hsa-miR-6124,miRTarBase_hsa-miR-6124
hsa-miR-6743-3p,miRTarBase_hsa-miR-6743-3p
hsa-miR-95-3p,miRTarBase_hsa-miR-95-3p
hsa-miR-503-3p,miRTarBase_hsa-miR-503-3p
hsa-miR-6807-3p,miRTarBase_hsa-miR-6807-3p
hsa-miR-4666b,miRTarBase_hsa-miR-4666b
hsa-miR-3692-5p,miRTarBase_hsa-miR-3692-5p
hsa-miR-5010-5p,miRTarBase_hsa-miR-5010-5p
hsa-miR-512-3p,miRTarBase_hsa-miR-512-3p
hsa-miR-6501-3p,miRTarBase_hsa-miR-6501-3p
hsa-miR-3189-3p,miRTarBase_hsa-miR-3189-3p
hsa-miR-15a-3p,miRTarBase_hsa-miR-15a-3p
hsa-miR-6765-5p,miRTarBase_hsa-miR-6765-5p
hsa-miR-6769a-3p,miRTarBase_hsa-miR-6769a-3p
hsa-miR-5189-5p,miRTarBase_hsa-miR-5189-5p
mmu-miR-1948-3p,miRTarBase_mmu-miR-1948-3p
hsa-miR-6853-5p,miRTarBase_hsa-miR-6853-5p
hsa-miR-4274,miRTarBase_hsa-miR-4274
hsa-miR-3159,miRTarBase_hsa-miR-3159
mmu-miR-705,miRTarBase_mmu-miR-705
hsa-miR-5088-5p,miRTarBase_hsa-miR-5088-5p
mmu-miR-466h-3p,miRTarBase_mmu-miR-466h-3p
hsa-miR-32-3p,miRTarBase_hsa-miR-32-3p
hsa-miR-487a-5p,miRTarBase_hsa-miR-487a-5p
hsa-miR-520e,miRTarBase_hsa-miR-520e
hsa-miR-6734-3p,miRTarBase_hsa-miR-6734-3p
hsa-miR-4676-5p,miRTarBase_hsa-miR-4676-5p
hsa-miR-3606-5p,miRTarBase_hsa-miR-3606-5p
hsa-miR-3140-5p,miRTarBase_hsa-miR-3140-5p
hsa-miR-3150a-3p,miRTarBase_hsa-miR-3150a-3p
hsa-miR-4651,miRTarBase_hsa-miR-4651
hsa-miR-20b-3p,miRTarBase_hsa-miR-20b-3p
hsa-miR-224-5p,miRTarBase_hsa-miR-224-5p
hsa-miR-4690-3p,miRTarBase_hsa-miR-4690-3p
mmu-miR-883a-5p,miRTarBase_mmu-miR-883a-5p
hsa-miR-659-3p,miRTarBase_hsa-miR-659-3p
hsa-miR-4701-5p,miRTarBase_hsa-miR-4701-5p
hsa-miR-499a-5p,miRTarBase_hsa-miR-499a-5p
hsa-miR-6802-5p,miRTarBase_hsa-miR-6802-5p
hsa-miR-4662a-5p,miRTarBase_hsa-miR-4662a-5p
hsa-miR-3927-5p,miRTarBase_hsa-miR-3927-5p
hsa-miR-1227-3p,miRTarBase_hsa-miR-1227-3p
hsa-miR-3687,miRTarBase_hsa-miR-3687
mmu-miR-1935,miRTarBase_mmu-miR-1935
hsa-miR-2113,miRTarBase_hsa-miR-2113
hsa-miR-6514-5p,miRTarBase_hsa-miR-6514-5p
hsa-miR-363-5p,miRTarBase_hsa-miR-363-5p
hsa-miR-4450,miRTarBase_hsa-miR-4450
mmu-miR-24-3p,miRTarBase_mmu-miR-24-3p
